t_index	term	df
3308	dissid	6
3309	dissip	1
3310	dissolv	12
3311	dissuas	1
3312	distanc	16
3313	distant	7
3314	distinct	7
3315	distinctli	1
3316	distinguish	7
3317	distort	6
3318	distract	8
3319	distraught	13
3320	distress	4
3321	distribut	26
3322	district	38
3323	distrust	1
3324	disturb	9
3325	disun	2
3326	ditch	2
3327	dive	21
3328	diver	67
3329	divers	8
3330	diversifi	1
3331	divert	8
3332	divid	33
3333	divis	26
3334	divorc	3
3335	divulg	4
3336	dixvil	1
3337	dizzi	2
3338	djahouri	1
3339	djibouti	20
3340	djikal	1
3341	djila	1
3342	djindjic	17
3343	djindjic-kostunica	1
3344	djukanov	3
3345	djuro	1
3346	dmitri	12
3347	dmon	1
3348	dna	5
3349	dnevnik	1
3350	do-noth	1
3351	doan	1
3352	dobrica	1
3353	dochterman	1
3354	dock	42
3355	docksid	2
3356	doctor	51
3357	doctorswithoutbord	1
3358	doctrin	1
3359	document	44
3360	documentari	1
3361	dodg	1
3362	dodgi	3
3363	doe	93
3364	doer	1
3365	doesn	43
3366	dog	32
3367	dogged	1
3368	doggedli	1
3369	doha	1
3370	dokic	9
3371	doll	1
3372	dollar	37
3373	dolphin	1
3374	domain	1
3375	dome	2
3376	domest	16
3377	domin	38
3378	dominican	1
3379	dominik	16
3380	dominikov	4
3381	dominion	2
3382	dominiqu	1
3383	domino	2
3384	domino-lik	1
3385	don	210
3386	donald	35
3387	donaldson	2
3388	donat	19
3389	done	109
3390	dong	1
3391	donkey	1
3392	donna	2
3393	donnel	3
3394	donor	11
3395	dooda	1
3396	doom	9
3397	door	47
3398	door-to-door	1
3399	doorway	2
3400	dopher	1
3401	dora	1
3402	dorcol	1
3403	doreen	1
3404	dori	1
3405	dormitori	1
3406	dorothi	2
3407	dose	1
3408	dostoyevski	1
3409	dot	3
3410	doubl	35
3411	double-check	1
3412	double-d	1
3413	double-digit	1
3414	double-fault	11
3415	doubt	50
3416	doudou	1
3417	doug	1
3418	dougal	9
3419	dougherti	2
3420	dougla	1
3421	dour	2
3422	dove	1
3423	dover	24
3424	dow	2
3425	down-correct	1
3426	down-the-middl	1
3427	downbeat	1
3428	downfal	19
3429	downplay	3
3430	downpour	1
3431	downstair	2
3432	downtown	29
3433	dows	1
3434	doyal	1
3435	doze	1
3436	dozen	112
3437	dozo	1
3438	dpko	1
3439	dpmo	2
3440	dr	8
3441	draconian	2
3442	draft	16
3443	drag	15
3444	dragan	6
3445	dragana	1
3446	dragesa	1
3447	dragisha	1
3448	dragoljub	8
3449	dragomir	2
3450	dragon	2
3451	drain	8
3452	drama	13
3453	draman	15
3454	dramat	33
3455	drape	12
3456	draper	2
3457	draskov	4
3458	drastic	1
3459	draw	48
3460	drawn	17
3461	dread	1
3462	dream	20
3463	dress	24
3464	dresser	1
3465	drew	23
3466	drexel	1
3467	dri	16
3468	dried-up	1
3469	drift	3
3470	drill	8
3471	drink	13
3472	drip	1
3473	drissa	3
3474	drive	61
3475	driven	16
3476	driver	24
3477	driveway	1
3478	drizzl	1
3479	drizzli	1
3480	drop	51
3481	drop-in	1
3482	drought	2
3483	drove	22
3484	drown	6
3485	drub	1
3486	drudg	1
3487	drug	41
3488	drug-mak	1
3489	drugli	1
3490	drum	1
3491	drumbeat	2
3492	drummer	2
3493	drunk	3
3494	drunken	1
3495	drydock	1
3496	dtic	2
3497	du	1
3498	dual	1
3499	duan	1
3500	dub	3
3501	dubai	5
3502	dubiou	1
3503	duboc	1
3504	duc	7
3505	duck	2
3506	duct	6
3507	dudley	12
3508	due	38
3509	duel	3
3510	duffel	2
3511	duffi	4
3512	duffl	1
3513	dug	21
3514	dug-up	1
3515	duglon	1
3516	duguid	2
3517	duke	1
3518	dull	1
3519	duluth	1
3520	duma	1
3521	dump	12
3522	duo	1
3523	duopoli	1
3524	dupe	1
3525	duplic	1
3526	durango	2
3527	dure	281
3528	duress	1
3529	dusan	1
3530	dusk	2
3531	dust	13
3532	dusti	11
3533	dutch	3
3534	duti	27
3535	duval	1
3536	dwarf	1
3537	dwell	2
3538	dwight	2
3539	dwindl	11
3540	dwyer	1
3541	dy	5
3542	dye	2
3543	dygalo	2
3544	dynam	4
3545	dynamit	4
3546	dynamite-tip	4
3547	dynasti	1
3548	dysfunct	1
3549	e	9
3550	e-commerc	1
3551	e-mail	7
3552	eager	18
3553	eagl	1
3554	eagleton	1
3555	eaker	1
3556	eant-war	1
3557	ear	7
3558	eardrum	2
3559	earli	180
3560	earlier	188
3561	earliest	7
3562	early-season	1
3563	earmark	8
3564	earn	22
3565	earnest	5
3566	earshot	1
3567	earth	29
3568	earth-mov	2
3569	earthmov	3
3570	earthquak	110
3571	earthquake-driven	1
3572	earthquake-ravag	1
3573	earthquake-stricken	1
3574	earthquake-trigg	2
3575	eas	27
3576	easi	34
3577	easier	12
3578	easiest	2
3579	easili	25
3580	easley	1
3581	east	127
3582	eastern	40
3583	eat	15
3584	eaten	2
3585	eavesdrop	1
3586	eb	3
3587	ebb	5
3588	ebri	1
3589	eccel	1
3590	echeverria	1
3591	echo	28
3592	eclips	2
3593	ecolog	1
3594	ecologist	1
3595	econolin	1
3596	econom	83
3597	economi	73
3598	economist	12
3599	ecstat	1
3600	ecuador	10
3601	ecuadorian	1
3602	ed	12
3603	edberg	1
3604	edg	46
3605	edgar	1
3606	edict	1
3607	edific	1
3608	edikipa	1
3609	edinburgh	1
3610	edit	16
3611	editor	16
3612	editor-in-chief	1
3613	editori	16
3614	edmond	32
3615	edmund	25
3616	edmundo	1
3617	edt	13
3618	eduard	1
3619	eduardo	1
3620	educ	37
3621	edward	6
3622	edwardo	1
3623	edwin	2
3624	eeri	2
3625	eerili	1
3626	effect	76
3627	effici	4
3628	effort	185
3629	effortlessli	1
3630	eg	1
3631	egg	5
3632	egoavil	3
3633	egotist	2
3634	egregi	1
3635	egypt	26
3636	egyptian	31
3637	ehud	8
3638	eight	104
3639	eight-day	2
3640	eight-man	1
3641	eight-memb	1
3642	eight-month	1
3643	eight-volum	1
3644	eight-year	3
3645	eighteen-month-old	1
3646	eighth	15
3647	eighth-centuri	1
3648	eighth-seed	6
3649	eighti	2
3650	eighty-seven	2
3651	eighty-year-old	1
3652	eisenhow	3
3653	either	60
3654	eject	2
3655	ekra	1
3656	el	68
3657	el-attar	1
3658	el-misri	1
3659	el-sheikh	3
3660	el-sirri	1
3661	elabor	24
3662	elana	1
3663	elast	1
3664	elat	1
3665	elayn	1
3666	elbaum	1
3667	elbow	7
3668	elder	6
3669	elderli	5
3670	eldest	3
3671	elect	298
3672	election-day	1
3673	election-night	1
3674	elector	80
3675	electr	42
3676	electric-pow	1
3677	electrician	3
3678	electrifi	1
3679	electrocut	1
3680	electron	11
3681	eleg	5
3682	element	21
3683	elementari	2
3684	elena	6
3685	elev	4
3686	eleven	12
3687	elia	4
3688	eliac	1
3689	elier	1
3690	elig	10
3691	elimin	32
3692	elit	7
3693	elizabeth	7
3694	ellen	5
3695	elli	2
3696	elliot	2
3697	ellips	2
3698	ellipt	1
3699	ellwood	1
3700	eln-handcount	1
3701	eln-leg	1
3702	eln-militari	1
3703	eln-rdp	1
3704	elong	1
3705	els	34
3706	elsewher	55
3707	elton	1
3708	elud	12
3709	elus	4
3710	em	2
3711	eman	1
3712	emanuel	1
3713	embargo	31
3714	embark	4
3715	embarrass	10
3716	embassi	118
3717	embattl	9
3718	embed	1
3719	embellish	1
3720	emblemat	1
3721	embrac	20
3722	embroil	1
3723	emerg	109
3724	emerson	2
3725	emigr	7
3726	emil	5
3727	emili	2
3728	emilio	2
3729	emin	2
3730	emir	7
3731	emiss	1
3732	emissari	1
3733	emit	1
3734	emkne	1
3735	emmanuel	3
3736	emot	47
3737	empathet	1
3738	empathi	1
3739	emperor	4
3740	emphas	9
3741	emphasi	7
3742	emphat	5
3743	empir	6
3744	employ	19
3745	employe	50
3746	empow	2
3747	empti	14
3748	emul	3
3749	en	32
3750	enabl	10
3751	enact	4
3752	encircl	1
3753	enclos	1
3754	encor	1
3755	encount	15
3756	encourag	33
3757	end	268
3758	end-dat	2
3759	end-of-the-year	2
3760	endang	5
3761	endear	1
3762	endeavor	3
3763	endem	1
3764	endors	12
3765	endur	18
3766	enemi	46
3767	energ	3
3768	energet	1
3769	energi	29
3770	enforc	44
3771	engag	25
3772	engend	2
3773	engin	50
3774	engine-room	2
3775	engineerman	1
3776	engineman	1
3777	england	2
3778	english	13
3779	english-deriv	1
3780	english-languag	3
3781	english-speak	4
3782	engrav	1
3783	engulf	7
3784	enhanc	5
3785	enigmat	1
3786	enjoin	1
3787	enjoy	19
3788	enlarg	4
3789	enlist	12
3790	enmesh	1
3791	enmiti	2
3792	enorm	27
3793	enough	136
3794	enqvist	1
3795	enrag	2
3796	enrich	1
3797	ensembl	2
3798	ensign	4
3799	ensnar	2
3800	ensu	9
3801	ensul	1
3802	ensur	34
3803	entail	1
3804	entangl	1
3805	enter	64
3806	enterpris	4
3807	entertain	5
3808	enthusiasm	8
3809	enthusiast	7
3810	entic	4
3811	entir	44
3812	entireti	1
3813	entiti	2
3814	entitl	6
3815	entomb	4
3816	entourag	3
3817	entranc	7
3818	entrench	2
3819	entrepreneur	2
3820	entrepreneuri	2
3821	entrepreneurship	5
3822	entri	3
3823	entrust	1
3824	envelop	1
3825	envi	1
3826	environ	8
3827	environment	11
3828	environmentalist	3
3829	envis	2
3830	envisag	1
3831	envoy	7
3832	epa	1
3833	epic	2
3834	epicent	31
3835	epidem	2
3836	epiphani	1
3837	episcop	3
3838	episod	2
3839	equal	20
3840	equanim	1
3841	equip	88
3842	equival	12
3843	er	2
3844	era	43
3845	eras	11
3846	erect	7
3847	erena	1
3848	eri	3
3849	eric	6
3850	erinson	1
3851	erlang	1
3852	ernesto	4
3853	erni	4
3854	erod	8
3855	eros	4
3856	err-r-r	1
3857	errand	1
3858	errat	8
3859	erron	3
3860	error	47
3861	error-pron	1
3862	erupt	18
3863	es	5
3864	esam	1
3865	escal	9
3866	escap	85
3867	escape	28
3868	escort	10
3869	escud	3
3870	especi	74
3871	espehello	1
3872	espi	6
3873	espionag	34
3874	espitia	1
3875	espo	1
3876	espous	1
3877	essay	3
3878	essenc	3
3879	essenti	16
3880	est	1
3881	establish	49
3882	estat	18
3883	estim	63
3884	estrada	1
3885	estrang	1
3886	et	3
3887	etar	1
3888	etat	7
3889	etcetera	1
3890	ethan	2
3891	ethic	7
3892	ethiopia	1
3893	ethnic	34
3894	ethnocentr	2
3895	etoge	1
3896	eu	7
3897	eu-	1
3898	eucom	1
3899	eugen	4
3900	eulog	3
3901	euphor	1
3902	euphoria	6
3903	europ	50
3904	european	52
3905	evacu	24
3906	evad	7
3907	evalu	11
3908	evan	5
3909	evanel	1
3910	evapor	3
3911	evas	14
3912	eve	62
3913	evelyn	2
3914	even	311
3915	even-hand	3
3916	evenh	1
3917	evenhand	1
3918	evenli	5
3919	event	85
3920	eventu	45
3921	ever	106
3922	ever-shrink	2
3923	ever-worsen	1
3924	everett	1
3925	everi	92
3926	eversinc	1
3927	evert	11
3928	everybodi	20
3929	everyday	10
3930	everyon	57
3931	everyth	77
3932	everywher	18
3933	evi	4
3934	evict	2
3935	evid	130
3936	evidenc	1
3937	evidence-gath	1
3938	evil	2
3939	evoc	1
3940	evok	1
3941	evolut	3
3942	ewe	4
3943	ex	1
3944	ex-cabinet	1
3945	ex-cia	2
3946	ex-hous	1
3947	ex-husband	3
3948	ex-intellig	7
3949	ex-intern	1
3950	ex-lead	1
3951	ex-new	3
3952	ex-possess	2
3953	ex-presid	7
3954	ex-saudi	1
3955	ex-spi	12
3956	ex-wif	9
3957	exacerb	1
3958	exact	8
3959	exactli	37
3960	exagger	4
3961	exalt	1
3962	exam	4
3963	examin	47
3964	exampl	40
3965	exasper	2
3966	excav	12
3967	exceed	5
3968	exceedingli	1
3969	excel	5
3970	except	27
3971	excerpt	5
3972	excess	2
3973	exchang	23
3974	excit	9
3975	exclaim	1
3976	exclam	2
3977	exclud	20
3978	exclus	20
3979	exclusion	2
3980	exclusionari	1
3981	excruci	1
3982	excus	7
3983	execut	71
3984	exemplari	1
3985	exemplifi	1
3986	exempt	2
3987	exercis	22
3988	exhaust	26
3989	exhibit	3
3990	exhilar	1
3991	exhort	2
3992	exil	41
3993	exist	20
3994	exit	25
3995	exocet	1
3996	exodu	3
3997	exoner	1
3998	expand	18
3999	expans	5
4000	expatri	3
4001	expect	187
4002	expectantli	1
4003	expedi	2
4004	expedit	4
4005	expel	5
4006	expenditur	2
4007	expens	21
4008	experi	46
4009	experienc	8
4010	expert	118
4011	expertis	8
4012	expir	9
4013	explain	35
4014	explan	13
4015	explicit	4
4016	explicitli	6
4017	explod	43
4018	exploit	7
4019	explor	13
4020	explos	222
4021	explosives-laden	3
4022	explosives-pack	1
4023	export	19
4024	export-import	1
4025	expos	8
4026	express	74
4027	express-new	1
4028	expuls	1
4029	exquisit	1
4030	extend	38
4031	extens	34
4032	extent	27
4033	exterior	3
4034	extern	14
4035	extinct	2
4036	extinguish	2
4037	extol	2
4038	extort	4
4039	extra	20
4040	extra-leg	1
4041	extract	6
4042	extradit	33
4043	extraordinari	12
4044	extraordinarili	2
4045	extravag	2
4046	extrem	21
4047	extremist	17
4048	extric	2
4049	exuber	1
4050	exud	1
4051	exult	1
4052	eyadema	1
4053	eyal	1
4054	eye	61
4055	eyebal	1
4056	eyelid	1
4057	eyesburn	1
4058	eyewit	10
4059	eyewitnesss	1
4060	f	19
4061	f-105	5
4062	f-105d	1
4063	f-22	1
4064	fa	1
4065	faa	1
4066	fabiani	1
4067	fabric	5
4068	facad	4
4069	face	179
4070	face-off	2
4071	face-to-fac	1
4072	facial	1
4073	facil	45
4074	facilit	4
4075	fact	108
4076	fact-find	1
4077	factbook	4
4078	faction	13
4079	facto	2
4080	factor	23
4081	factori	20
4082	factual	1
4083	fade	23
4084	fadeyev	1
4085	fagan	1
4086	fahrenheit	1
4087	fail	115
4088	failur	16
4089	faint	6
4090	faintli	1
4091	fair	45
4092	fair-skin	1
4093	fairfax	1
4094	fairleigh	1
4095	fairli	16
4096	faisal	1
4097	faith	8
4098	faith-bas	1
4099	faithless	1
4100	fake	10
4101	fall	68
4102	fallen	27
4103	fallout	1
4104	faln	1
4105	fals	30
4106	falsif	1
4107	falsifi	5
4108	falter	4
4109	fame	6
4110	famili	213
4111	familiar	17
4112	famou	4
4113	fan	10
4114	fanci	1
4115	fanfar	2
4116	far	178
4117	far-flung	3
4118	faraway	3
4119	farc	2
4120	fare	1
4121	farera	1
4122	farewel	16
4123	farid	1
4124	farina	3
4125	farinella	1
4126	farm	9
4127	farmer	8
4128	farmington	1
4129	farrier	1
4130	farther	2
4131	farthest	2
4132	fascin	5
4133	fascist	3
4134	fashion	7
4135	faso	8
4136	fast	22
4137	fast-fad	1
4138	fast-food	1
4139	faster	11
4140	fastest	2
4141	fat	2
4142	fatal	8
4143	fatalist	1
4144	fate	32
4145	father	76
4146	father-in-law	1
4147	fatherless	1
4148	fatigu	7
4149	fatwa	1
4150	fault	20
4151	faulti	1
4152	favor	49
4153	favorit	14
4154	faw	1
4155	fax	14
4156	fay	1
4157	fayettevil	1
4158	fbi	113
4159	fbi-l	1
4160	fbi-yemeni	1
4161	fda	1
4162	fear	108
4163	fear-mong	1
4164	fearless	4
4165	feasibl	4
4166	feast	1
4167	feat	8
4168	featur	19
4169	feb	2
4170	februari	3
4171	fed	15
4172	feder	138
4173	federalist	1
4174	federico	11
4175	fee	5
4176	feed	14
4177	feel	118
4178	feet	61
4179	fehn	2
4180	feign	1
4181	feingold	1
4182	feinstein	3
4183	felix	9
4184	fell	66
4185	fellow	38
4186	fellow-stud	1
4187	felon	4
4188	feloni	13
4189	felt	80
4190	femal	13
4191	feminist	1
4192	fenc	6
4193	fend	2
4194	ferdinand	1
4195	ferment	1
4196	fernand	5
4197	fernandez	1
4198	fernando	5
4199	feroci	1
4200	ferraro	1
4201	ferreira	3
4202	ferrer	1
4203	ferrero	12
4204	ferret	2
4205	ferri	4
4206	fertil	3
4207	fervor	5
4208	fest	1
4209	festiv	8
4210	fetch	1
4211	fever	6
4212	feverish	1
4213	fewer	17
4214	fewest	1
4215	fh	1
4216	fhimah	1
4217	fiance	1
4218	fiberglass	9
4219	fiction	2
4220	fictiti	3
4221	fidel	5
4222	fidelia	2
4223	fidget	2
4224	fie	1
4225	fiefdom	2
4226	field	49
4227	fierc	16
4228	fieri	3
4229	fierrera	1
4230	fife	2
4231	fifteen	3
4232	fifteenth	1
4233	fifth	34
4234	fifth-seed	2
4235	fifth-set	1
4236	fifti	1
4237	fifty-thre	1
4238	fight	76
4239	fighter	14
4240	figur	93
4241	fijimori	1
4242	file	40
4243	filipov	1
4244	fill	60
4245	fillmor	1
4246	film	8
4247	filter	1
4248	filth	1
4249	final	198
4250	final-hour	1
4251	finalist	5
4252	financ	40
4253	financi	63
4254	find	214
4255	fine	43
4256	finest	5
4257	finger	10
4258	finger-point	3
4259	fingerprint	5
4260	fingertip	1
4261	finish	57
4262	finit	2
4263	fink	3
4264	finland	2
4265	finsburi	1
4266	fir	4
4267	fire	124
4268	fire-breath	1
4269	firearm	12
4270	firebal	1
4271	firebomb	1
4272	firecrack	2
4273	firefight	6
4274	fireman	4
4275	firepow	2
4276	firerescu	1
4277	fireston	1
4278	firestorm	1
4279	firework	5
4280	firm	32
4281	firmer	1
4282	firmli	11
4283	first	433
4284	first-class	1
4285	first-degre	1
4286	first-hand	1
4287	first-round	16
4288	first-set	4
4289	first-term	2
4290	first-tim	2
4291	firstli	1
4292	fiscal	3
4293	fischer	2
4294	fish	10
4295	fisheri	1
4296	fisherman	2
4297	fishermen	5
4298	fissur	1
4299	fist	7
4300	fit	27
4301	fitcher	1
4302	fitter	1
4303	fittingli	1
4304	fitzgerald	7
4305	five	182
4306	five-candid	10
4307	five-day	4
4308	five-inch	1
4309	five-memb	3
4310	five-minut	2
4311	five-set	6
4312	five-sett	2
4313	five-stori	3
4314	five-term	4
4315	five-tim	1
4316	five-vot	1
4317	five-week	3
4318	five-year	24
4319	five-year-old	1
4320	fix	15
4321	fizzl	1
4322	fl	1
4323	fla	16
4324	flabbergast	1
4325	flag	36
4326	flag-drap	6
4327	flag-wav	4
4328	flagrant	2
4329	flair	2
4330	flak	1
4331	flake	3
4332	flaku	3
4333	flame	9
4334	flank	6
4335	flare	2
4336	flare-up	1
4337	flash	3
4338	flashbulb	1
4339	flashlight	1
4340	flashpoint	3
4341	flat	11
4342	flat-foot	1
4343	flat-out	1
4344	flatb	1
4345	flatli	1
4346	flatten	23
4347	flatter	1
4348	flatwar	1
4349	flaw	15
4350	flawless	2
4351	flawlessli	1
4352	flea	1
4353	fled	72
4354	fledgl	2
4355	flee	36
4356	fleet	72
4357	fleischer	1
4358	flesh	2
4359	fletchal	1
4360	fletcher	4
4361	flew	33
4362	flex	1
4363	flexibl	2
4364	flfing	1
4365	fli	49
4366	flier	1
4367	flight	49
4368	flimsi	1
4369	fling	1
4370	flint	1
4371	flintoff	2
4372	flip	3
4373	flip-flop	4
4374	float	15
4375	floater	1
4376	flood	36
4377	flood-control	2
4378	floodlight	1
4379	floodlit	2
4380	floor	37
4381	flore	15
4382	floresc	1
4383	florez	2
4384	florida	42
4385	florist	1
4386	floss	1
4387	flotilla	12
4388	flour	2
4389	flourish	3
4390	flow	10
4391	flower	8
4392	flown	44
4393	floyd	2
4394	fluctuat	1
4395	fluid	2
4396	flung	5
4397	fluorid	1
4398	flurri	4
4399	flush	1
4400	fluster	2
4401	fluti	1
4402	flux	1
4403	fly-around	1
4404	focu	44
4405	focus	45
4406	focus-group	1
4407	focuss	2
4408	foe	16
4409	fofana	2
4410	fog	11
4411	foggi	4
4412	foil	6
4413	fold	3
4414	foley	2
4415	folk	7
4416	folklor	1
4417	follow	216
4418	follow-up	1
4419	followup	1
4420	foment	3
4421	fond	2
4422	font	1
4423	food	59
4424	fool	2
4425	foolish	1
4426	foot	43
4427	footag	3
4428	footbal	9
4429	football-s	1
4430	foothil	6
4431	foothold	6
4432	footnot	1
4433	footprint	1
4434	footstep	1
4435	footwear	1
4436	footwork	1
4437	for-profit	1
4438	forag	4
4439	foray	3
4440	forb	3
4441	forbid	1
4442	forbidden	2
4443	forc	365
4444	force-six	1
4445	forcep	1
4446	forcibl	2
4447	ford	11
4448	fore	2
4449	forebod	1
4450	forecast	8
4451	foreclos	1
4452	forefront	2
4453	forehand	15
4454	forehead	2
4455	foreign	191
4456	foremost	3
4457	forens	21
4458	forerunn	2
4459	forese	3
4460	foreseen	1
4461	forest	9
4462	foretast	1
4463	forev	9
4464	foreword	1
4465	forg	4
4466	forgav	1
4467	forgeri	1
4468	forget	12
4469	forgiv	7
4470	forgiven	1
4471	forgot	1
4472	forgotten	5
4473	fork	2
4474	form	94
4475	formal	42
4476	format	9
4477	former	267
4478	formerli	9
4479	formid	2
4480	formul	1
4481	formula	3
4482	fornl	1
4483	forsak	1
4484	fort	11
4485	forth	4
4486	forti	4
4487	fortifi	2
4488	fortitud	1
4489	fortnight	1
4490	fortress	1
4491	fortun	16
4492	forty-seven	1
4493	forum	15
4494	forward	57
4495	foster	4
4496	fought	45
4497	foul-smel	1
4498	found	234
4499	foundat	8
4500	founder	10
4501	fountain	1
4502	four	240
4503	four-block	1
4504	four-day	4
4505	four-hour	3
4506	four-inch	2
4507	four-minut	1
4508	four-person	1
4509	four-point	1
4510	four-star	4
4511	four-stori	5
4512	four-term	2
4513	four-tim	10
4514	four-wheel	1
4515	four-wheel-dr	7
4516	four-year	7
4517	fourth	53
4518	fourth-floor	1
4519	fourth-round	5
4520	fourth-seed	1
4521	fox	7
4522	foyer	2
4523	fpi	2
4524	fpt	1
4525	fr	1
4526	fraction	7
4527	fractiou	2
4528	fractur	9
4529	fragil	7
4530	fragment	9
4531	fraim	1
4532	frame	5
4533	framework	2
4534	franc	34
4535	france-press	1
4536	franchis	1
4537	franci	6
4538	franciscan	2
4539	francisco	37
4540	francoi	1
4541	franjo	3
4542	frank	28
4543	frankfurt	9
4544	frankli	8
4545	frantic	20
4546	fraser	1
4547	frasur	1
4548	fraud	68
4549	fraudul	5
4550	fraught	3
4551	fray	4
4552	frazier	2
4553	fred	2
4554	freder	1
4555	fredericqu	1
4556	frederik	1
4557	free	113
4558	free-for-al	1
4559	free-lanc	1
4560	free-market	2
4561	freed	22
4562	freedom	40
4563	freedom-lov	1
4564	freeh	25
4565	freeli	14
4566	freelli	1
4567	freepelti	2
4568	freer	2
4569	freewheel	1
4570	freez	2
4571	freight	2
4572	fremd	5
4573	fremont	2
4574	french	64
4575	french-built	2
4576	french-mad	1
4577	french-speak	1
4578	french-train	1
4579	frenchman	8
4580	frenchmen	1
4581	frenchwoman	2
4582	frenzi	3
4583	frequent	28
4584	fresh	18
4585	fresher	1
4586	freshman	5
4587	freshmen	1
4588	fresno	1
4589	fri	1
4590	friction	1
4591	friday	216
4592	friend	80
4593	friendli	18
4594	friendship	6
4595	frigat	10
4596	frighten	21
4597	frigid	1
4598	frist	2
4599	frond	1
4600	front	77
4601	front-end	5
4602	front-man	1
4603	front-pag	2
4604	front-run	2
4605	front-runn	1
4606	frontier	1
4607	frontlin	1
4608	frown	1
4609	froze	7
4610	frozen	4
4611	fruit	7
4612	fruition	1
4613	fruitless	1
4614	frustrat	40
4615	fsb	4
4616	ft	1
4617	fudg	1
4618	fuel	40
4619	fuerth	1
4620	fugazi	5
4621	fugimori	1
4622	fugit	72
4623	fujimori	62
4624	fulfil	5
4625	full	77
4626	full-fledg	1
4627	full-pag	2
4628	full-scal	1
4629	full-throat	3
4630	fullest	4
4631	fulli	37
4632	fume	1
4633	fun	2
4634	function	14
4635	functionari	2
4636	fund	52
4637	fund-rais	19
4638	fundament	13
4639	fundamentalist	9
4640	fundrais	1
4641	funer	19
4642	funnel	3
4643	funni	2
4644	furi	5
4645	furiou	12
4646	furious	6
4647	furnish	2
4648	furnitur	6
4649	furor	2
4650	furrow	2
4651	furthermor	3
4652	furthest	1
4653	furtiv	2
4654	fuselag	1
4655	fuss	1
4656	futa	1
4657	futil	4
4658	futur	88
4659	futurist	1
4660	fuzzi	1
4661	g	14
4662	ga	49
4663	gabbi	1
4664	gabe	1
4665	gabon	2
4666	gabriel	1
4667	gadget	1
4668	gadhafi	1
4669	gaell	1
4670	gaff	1
4671	gafney	1
4672	gag	1
4673	gagliardi	2
4674	gagnoa	4
4675	gaig	1
4676	gain	73
4677	gajar	1
4678	gal	1
4679	galapago	2
4680	gale	6
4681	galiardi	1
4682	gallup	3
4683	gallust	3
4684	galo	8
4685	galvan	2
4686	galvin	1
4687	gamarra	1
4688	gambler	2
4689	game	57
4690	gan	3
4691	gandhi	7
4692	gandhinagar	1
4693	gang	17
4694	gangster	1
4695	gangster-styl	1
4696	gantlet	1
4697	gap	11
4698	gape	16
4699	garag	6
4700	garbag	16
4701	garbage-remov	1
4702	garbl	4
4703	garcia	23
4704	garden	13
4705	gari	8
4706	garin	1
4707	garland	1
4708	garment	1
4709	garner	5
4710	garri	2
4711	garro	1
4712	garwood	3
4713	gas-pow	1
4714	gase	1
4715	gash	4
4716	gasolin	2
4717	gasp	1
4718	gaston	1
4719	gate	17
4720	gatehous	2
4721	gateway	2
4722	gather	88
4723	gatl	1
4724	gatorad	1
4725	gaudi	1
4726	gaug	3
4727	gauna	2
4728	gaur	1
4729	gautam	1
4730	gave	105
4731	gavel	1
4732	gavlak	1
4733	gawker	1
4734	gay	10
4735	gay-e	3
4736	gaza	16
4737	gaze	4
4738	gazett	1
4739	gazillion-dollar	1
4740	gbagbo	38
4741	gbessi	1
4742	gbgm-umc	1
4743	gear	10
4744	gedda	1
4745	gedrif	1
4746	gee	1
4747	geeman	1
4748	gehman	10
4749	gehman-crouch	1
4750	gejdenson	4
4751	gelu	1
4752	gen	77
4753	gendarm	2
4754	gene	2
4755	gener	222
4756	general-secretari	1
4757	generos	2
4758	genex	1
4759	genocid	4
4760	genom	1
4761	genrikh	1
4762	gentl	1
4763	gentleman	1
4764	gentlemen	1
4765	gentli	6
4766	genuin	5
4767	geo	5
4768	geoff	1
4769	geofferi	1
4770	geoffrey	3
4771	geographi	1
4772	geolog	11
4773	geologist	2
4774	geopolit	1
4775	georg	117
4776	georgetown	1
4777	georgi	1
4778	georgia	9
4779	georgian	2
4780	gephardt	2
4781	gerald	1
4782	gerd	1
4783	gerhard	5
4784	gerin	1
4785	german	23
4786	germani	63
4787	germany-deport	1
4788	germicid	1
4789	gerri	1
4790	gerstein	1
4791	gestapo	1
4792	gestur	21
4793	get	283
4794	get-along	1
4795	get-out-the-vot	2
4796	getaway	7
4797	ghee	1
4798	ghost	4
4799	gi	1
4800	giant	11
4801	gift	18
4802	gigant	1
4803	giggl	2
4804	gil	1
4805	gila	1
4806	gilbert	1
4807	gillespi	2
4808	gilman	1
4809	gilmor	2
4810	gimbel	1
4811	gina	1
4812	ginger	2
4813	gingerli	3
4814	girder	1
4815	girl	29
4816	girlfriend	3
4817	giuliani	12
4818	give	167
4819	given	115
4820	gizbert	3
4821	glad	11
4822	gladi	1
4823	gladkovich	1
4824	gladli	1
4825	glanc	5
4826	glascoff	1
4827	glaspi	3
4828	glass	17
4829	gleefulli	2
4830	glen	4
4831	glenni	2
4832	glimps	6
4833	glisten	1
4834	global	19
4835	globe	6
4836	glori	3
4837	gloria	1
4838	glorifi	1
4839	gloriou	2
4840	glove	4
4841	glow	3
4842	glue	4
4843	glum	1
4844	gmc	1
4845	gnassingb	1
4846	gnd	1
4847	go	367
4848	goal	19
4849	goate	1
4850	gobbl	1
4851	god	36
4852	god-fear	1
4853	goddess	1
4854	goe	33
4855	goggl	1
4856	goh	1
4857	goin	4
4858	going-away	1
4859	gokool	1
4860	gold	15
